Name,Team,Name,Season,PA,wOBA,OPS,GB%,LD%,Hard%,BB%,K%,NameASCII,PlayerId,MLBAMID
Frank Schwindel,- - -,Frank Schwindel,2019,393,0.328797353,0.766435722,0.453020134,0.187919463,0.32550336,0.055979643,0.183206106,Frank Schwindel,15351,643524
Franmil Reyes,- - -,Franmil Reyes,2018,1513,0.320052858,0.755908183,0.479956663,0.185265438,0.42145179,0.073364177,0.313945803,Franmil Reyes,14566,614177
Gabriel Arias,CLE,Gabriel Arias,2022,258,0.339768657,0.784408845,0.530487804,0.18902439,0.33532934,0.093023255,0.255813953,Gabriel Arias,22563,672356
Gabriel Moreno,- - -,Gabriel Moreno,2022,314,0.304375655,0.687456081,0.570212765,0.2,0.28085106,0.082802547,0.159235668,Gabriel Moreno,22664,672515
Garrett Cooper,- - -,Garrett Cooper,2018,1317,0.32959531,0.757188884,0.501213592,0.233009708,0.34101942,0.08959757,0.268033409,Garrett Cooper,15279,643265
Garrett Hampson,- - -,Garrett Hampson,2018,1003,0.278425411,0.639182279,0.444256756,0.195945945,0.29225908,0.073778664,0.289132602,Garrett Hampson,19262,641658
Gary Sánchez,- - -,Gary Sánchez,2018,1593,0.305741656,0.712876814,0.396303901,0.165297741,0.37679671,0.092278719,0.278719397,Gary Sanchez,11442,596142
George Springer,- - -,George Springer,2018,2247,0.356376485,0.834721914,0.436432637,0.191650853,0.35800127,0.095238095,0.186025812,George Springer,12856,543807
Giancarlo Stanton,NYY,Giancarlo Stanton,2018,1742,0.335658807,0.787067062,0.458742632,0.167976424,0.39587426,0.103903559,0.30424799,Giancarlo Stanton,4949,519317
Gilberto Celestino,MIN,Gilberto Celestino,2021,251,0.284669964,0.630159292,0.630057803,0.179190751,0.22988506,0.095617529,0.211155378,Gilberto Celestino,20233,665482
Gio Urshela,- - -,Gio Urshela,2018,1367,0.330841139,0.770557326,0.428290766,0.235756385,0.3280943,0.062911485,0.186539868,Gio Urshela,10681,570482
Gleyber Torres,NYY,Gleyber Torres,2018,2245,0.328510552,0.763480557,0.391167192,0.209463722,0.32997481,0.086859688,0.2,Gleyber Torres,16997,650402
Gorkys Hernández,- - -,Gorkys Hernández,2018,319,0.293139282,0.680918646,0.526570048,0.159420289,0.38028169,0.062695924,0.257053291,Gorkys Hernandez,4146,491676
Grayson Greiner,- - -,Grayson Greiner,2018,384,0.251704253,0.569507537,0.457777777,0.2,0.39823009,0.0859375,0.322916666,Grayson Greiner,17062,606988
Guillermo Heredia,- - -,Guillermo Heredia,2018,605,0.271653457,0.610559897,0.426315789,0.210526315,0.25449871,0.09090909,0.242975206,Guillermo Heredia,18721,628338
Hanser Alberto,- - -,Hanser Alberto,2018,776,0.257497066,0.598126729,0.462025316,0.207278481,0.22857143,0.025773195,0.106958762,Hanser Alberto,11902,593643
Harold Ramírez,- - -,Harold Ramírez,2019,1188,0.309400269,0.71858934,0.539313399,0.173864894,0.3089701,0.041245791,0.18013468,Harold Ramirez,14387,623912
